Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
CC2025-Tool-Live,,Deep Listening Live Session,7,1,ILT (Instructor-Led Training),{'2024-12-04': 1},1,1,{'2024-12-04': 0}
PAID_ASML_DEIB,,ASML DEIB X Impact Program Introduction,8,2,E-learning,{'2024-12-04': 2},1,0,{'2024-12-04': 1}
P2024-PartnerDisney,,Pinnacle Partner Spotlight: Disney,8,1,E-learning,{'2024-12-04': 1},0,0,{'2024-12-04': 1}
P2024-GUIDE,,A Deep-Dive into GUIDE,8,5,E-learning,{'2024-12-04': 3},1,1,{'2024-12-04': 1}
F2024-landing,,Gather 2024 is over!,8,1,E-learning,{'2024-12-04': 4},0,0,{'2024-12-04': 4}
G2024-Keynote7,,"A Fireside Chat with Prof. Martin Seligman (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 155},0,0,{'2024-12-04': 155}
G2024-Coach30,,"Level Up: Taking Your Influence to the Next Level (Live attendance, Gather 2024)",8,5,E-learning,{'2024-12-04': 59},0,0,{'2024-12-04': 59}
G2024-Coach29,,"Unlocking Potential: Integrating Positive Psychology into Strengths Based Coaching (Live attendance, Gather 2024)",8,6,E-learning,{'2024-12-04': 50},0,0,{'2024-12-04': 50}
G2024-Coach28,,"The Power of Learning to Follow (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 44},0,0,{'2024-12-04': 44}
G2024-Coach27,,"Personal Success Tools (PST) for Behavior Change (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 45},0,0,{'2024-12-04': 45}
G2024-Coach26,,"Silence and Wonder: How to Lean into Coaching Presence (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 55},0,0,{'2024-12-04': 55}
G2024-Coach25,,"Communication is Key: Listen Expertly and Speak with Intention (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 55},0,0,{'2024-12-04': 55}
G2024-Coach24,,"Own Your Elevator Pitch and Ride to the Top Floor (Live attendance, Gather 2024)",8,5,E-learning,{'2024-12-04': 58},0,0,{'2024-12-04': 58}
G2024-Coach23,,"Unlocking Wisdom Through Somatic Coaching and Storytelling (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 58},0,0,{'2024-12-04': 58}
G2024-Coach22,,"Executive Yoga: 7 Leadership Masters Steps in 7 Yoga Poses (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 40},0,0,{'2024-12-04': 40}
G2024-Coach21,,"Improv to Improve Your Coaching Skills (Live attendance, Gather 2024)",8,4,E-learning,{'2024-12-04': 120},0,0,{'2024-12-04': 120}
,,Amazon DEIB Coaching Circles Fall 2024,32,7,E-learning,{'2024-12-04': 15},0,5,{'2024-12-04': 10}
,,Disney Ad-Sales Coach Briefing,42,2,E-learning,{'2024-12-04': 29},1,2,{'2024-12-04': 26}
Welcome to BU Gov_CS,,BetterUp for Government Review,58,3,E-learning,{'2024-12-04': 36},2,2,{'2024-12-04': 32}
,,Sr. Nooglers Fall 2024,61,10,E-learning,{'2024-12-04': 8},2,2,{'2024-12-04': 4}
